Samples	1	2	3	4	5	6	7	8	9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85-89	90-94	95-99	100-104	105-109	110-114	115-119	120-124	125-129	130-134	135-139	140-144	145-149	150-151	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
HS55.D10_1	36.08340996739109	36.17215178426633	36.281825520316815	36.14888051175916	36.321118264426985	36.44388608523653	36.35233335483548	36.38602814530709	36.358758678980365	36.34588755743032	36.32080260485462	36.28335882041225	36.23172880285082	36.20532430162731	36.19292394869222	36.17568476854004	36.15680457167339	36.12479564618165	36.10603183395263	36.10353183620249	36.08478309919965	36.05119294873138	36.06195693488479	36.04993912028978	36.054693851777024	36.03616736856658	36.0206331865254	36.0459627298835	36.04144072597675	36.023786741349994	36.00668667864535	35.991360127451635	35.97445871891527	35.91014152087561	35.933232502966824	35.86181733274114	35.818491596666114	36.004481168497364																																																																		
HS55.D10_2	35.74014597748062	36.14988054250522	36.1371167066265	36.12210250013715	36.17343829596883	36.28631323967641	36.16143455097787	36.20082857623426	36.26159388792397	36.1872133035197	36.14777312299812	36.11285861815139	36.07671513893904	36.05396937089337	36.027706424526045	36.01526184931222	35.99387878762481	35.97961889043127	35.94482654815381	35.92721730223557	35.90188460973868	35.892232466138445	35.865039171024065	35.84746583737473	35.83687530069108	35.80682697551676	35.80109989114233	35.768727895325675	35.769066206800275	35.743688658927354	35.747185989151944	35.72482531151935	35.671506709499695	35.619862731920755	35.600857220780554	35.52857669555384	35.440656618949006	35.712737433219274																																																																		
SouvenirHanover.D_1	35.985576659825426	36.16144766451138	36.268446114841794	36.16934774677779	36.36452315499269	36.459568566446784	36.38330242570459	36.41097992686404	36.383160257209525	36.37890453731906	36.36180417427813	36.330609437745046	36.28106358527174	36.26061144327741	36.24877120713748	36.24293903713685	36.22133637044373	36.204779390364784	36.18390640326278	36.193531650290815	36.17429389481018	36.15489141487652	36.15915054804263	36.1492701259647	36.15479645979733	36.13347976895725	36.1246991559318	36.14219089353258	36.143285128610565	36.12263362114871	36.11465082813765	36.09603793308416	36.08553852861871	36.02903758814375	36.05036154031386	35.987356180657066	35.956387018673645	36.10514554266866																																																																		
SouvenirHanover.D_2	35.76806974766576	36.10689932821263	36.09574998664078	36.12891153029376	36.154165734819806	36.27088573941142	36.157046378595695	36.18902274498007	36.26207854957788	36.187802932695256	36.152200511014925	36.12333878917303	36.09601433427871	36.07574711028515	36.05278981619362	36.04605615152245	36.02809456721433	36.01295644843481	35.983539238307046	35.967129976065664	35.947763650479104	35.937779635373616	35.91596170218152	35.89807167629441	35.89070189473536	35.86454299442384	35.86173366261251	35.83165193584424	35.83474238388849	35.81447728637734	35.81637936465453	35.79775697683986	35.7480422651113	35.69983907862398	35.68599372682517	35.620284672551875	35.54126688171967	35.78805825244789																																																																		
Maximus.D_1	35.997842656551825	36.17951995934979	36.29302800768508	36.18205370101089	36.36287516262532	36.47348506465684	36.394740279736034	36.42456738942253	36.40525444309306	36.39561820907811	36.37177123344176	36.338724669704575	36.28971128577969	36.26826618249957	36.25299072785226	36.24407186469826	36.221709605904906	36.196011936902174	36.17753386642478	36.17804087639586	36.161086861335065	36.13329851346093	36.14136200001094	36.129995406826296	36.13567308648179	36.11585551824605	36.10372012839506	36.123720221141305	36.12207752016635	36.10311992680091	36.08975313344694	36.07302180844987	36.05993592346957	36.00117616758847	36.021786719565405	35.95639994944956	35.921068893475706	36.08393157852841																																																																		
Maximus.D_2	35.81164227857445	36.05750966906641	36.054007946339965	36.07882224339532	36.05185030305253	36.213036291244265	36.094246774304295	36.12941971808913	36.21925455763165	36.12980287267995	36.08322668217569	36.0486874786427	36.01945471032979	35.99175931782971	35.96476257471361	35.95231481858469	35.930134405298936	35.910117253611865	35.869856079194165	35.85273272861154	35.82386162891699	35.81524408048883	35.78184925444416	35.759823924802525	35.74710407323378	35.717429021995905	35.71109706249307	35.6775542558667	35.68006240557373	35.652060197499324	35.655620991496384	35.631568913333425	35.573277836698864	35.52011728881721	35.50176183510959	35.43051855545154	35.34296746912694	35.65135146599866																																																																		
BridledAssurance.A_1	35.97144914358993	36.15431085136464	36.26169747360344	36.15877858422986	36.3520576440971	36.45605909465972	36.37490610760442	36.40480924575999	36.38247867515281	36.37542942434738	36.35693540266252	36.322831245959705	36.27516992079718	36.25100424131896	36.24154354077896	36.23104479356013	36.210122233406125	36.18285237227308	36.16601441439804	36.16564810388633	36.15031414015361	36.12171824075863	36.12857810928666	36.11771187490442	36.12060649998735	36.10249322098635	36.088019335550406	36.110841581511565	36.104010997435445	36.08583951767282	36.0690088668761	36.05559865042847	36.03810357320968	35.98110524342356	36.00232124117357	35.93721495229322	35.895559047190225	36.0602422180616																																																																		
BridledAssurance.A_2	35.87676398400177	36.08497648091407	36.07739235091002	36.1042958727289	36.13530385607896	36.24699949020082	36.13066689090823	36.16229546278728	36.23975571684597	36.16649587167776	36.12967533675653	36.09816541669513	36.07177947243668	36.05074000767327	36.027748298635935	36.01762213439788	35.996059825921336	35.97852654213365	35.94298218644916	35.9255090996769	35.8985952810122	35.88837846118659	35.85934466054704	35.84131258533325	35.828554732007866	35.80029220631183	35.79492037780375	35.76244123533253	35.76163187855007	35.733776395975106	35.736323177327805	35.71027014892885	35.65594194158695	35.60276318710878	35.588978821387634	35.51505476701194	35.433169519760874	35.71847990084997																																																																		
Tango.A_1	36.054966793757295	36.17292285649037	36.26900505309869	36.156085569977705	36.32106086671249	36.43036557007045	36.35371024263916	36.36990647304376	36.357271987471	36.33502994879666	36.31108824201085	36.27086724574242	36.21390593284097	36.17984571182152	36.15922206260991	36.14216837400139	36.11621284530453	36.0868101138851	36.06224956538261	36.06648396885819	36.03798035011122	36.01129696498498	36.01507774746415	36.00465759905413	36.00832959202378	35.99138649087928	35.97506132653193	36.001148021030666	35.99279561930372	35.97300434325435	35.95477902250086	35.938797719066294	35.923198671195216	35.85531666810237	35.88461789414076	35.807711949850045	35.76640887698579	35.96146763426481																																																																		
Tango.A_2	35.883698453234786	36.12673986453198	36.12007427208832	36.139531136431344	36.14794282428687	36.26319613418823	36.147271917917	36.17006244790694	36.24866717131964	36.16894384557155	36.12932240485301	36.09212532704875	36.05406120057174	36.024825390458815	35.99272862344787	35.97948292083085	35.95513555316255	35.930383888047416	35.892752766912096	35.869863718915546	35.84469951426614	35.82866435740639	35.79909000788526	35.773747853881524	35.76310719073104	35.729527192150385	35.72641181884113	35.69052843714847	35.6867691343756	35.6565913449109	35.657605335628894	35.63488192108044	35.576721527905484	35.52262984815239	35.50571377984795	35.4334207912354	35.33727667970683	35.64286898277743																																																																		
