Samples	input	both_kept	fwd_only	rev_only	dropped	EquCab3.0	canFam6	human_GRch38	phix174	host	nonhost	komplexity
Annie.A	13625180	12971364	251711	52776	349329	546603	267263	267344	0	704948	10981077	1974558
Annie.D	14846138	14213461	208078	58551	366048	462624	174727	175014	0	595379	13059501	826720
Arianna.A	13161236	12506002	196373	54484	404377	541954	449422	255215	0	789417	11303962	605869
Arianna.D	9891593	9445317	98433	41742	306101	165692	126139	135092	0	318410	8877227	360824
Bagel.A	11360162	10726954	121349	67400	444459	713105	565643	588779	0	1024238	9284771	614056
Bagel.D	6128108	5834243	100980	25409	167476	337992	259952	271901	0	490336	5167145	252533
BlueP.A	1399924	1345160	6262	11280	37222	109111	72833	75281	0	141683	1146866	83449
BlueP.D	1824563	1741883	23276	8066	51338	1300293	367424	333861	0	1308458	350859	118828
BozmansHoneybee.A	10339587	9874403	127804	50577	286803	494790	171796	214517	0	609552	8836893	632101
BozmansHoneybee.D	1078558	1018171	22156	4837	33394	45004	14942	16628	0	56375	932014	42006
BridledAssurance.A	10041681	9513550	155351	41415	331365	499252	196195	179742	0	623308	8525780	552383
BridledAssurance.D	11147207	10663449	119628	48730	315400	433510	253776	204863	0	589668	9693216	564120
Bunky.A	16151936	15430120	246888	52806	422122	628633	438713	400809	0	896681	14011066	761689
Bunky.D	10329358	9789301	132359	63244	344454	304495	169415	169306	0	462749	8978804	508427
CJLeopold.A	13982302	13262908	197642	65331	456421	1302164	831205	848453	0	1637385	11292537	476357
CJLeopold.D	14888995	14271594	238050	61648	317703	139975	135821	152124	0	322273	13561128	540797
ChamplainsDream.A	4621560	4416454	71109	26761	107236	217097	161819	165989	0	299481	3524385	901257
ChamplainsDream.D	18345826	17680712	121555	107883	435676	635960	223999	220758	0	796445	16258218	914436
DNAfreewater1.20240501	0	0	0	0	0	0	0	0	0	0	0	0
DNAfreewater3.20240501	0	0	0	0	0	0	0	0	0	0	0	0
DNAfreewater5.20240501	1	1	0	0	0	0	0	0	0	0	1	0
DS1.D0	2292218	2219616	47884	9300	15418	10290	26614	10948	0	33135	1841767	457581
DS1.D10	6805280	6591691	82907	32065	98617	75230	132804	82573	0	195730	5693299	995090
DS1.D3	9286531	8868251	54554	73193	290533	210167	571572	221700	0	696918	7662774	707190
DS1.D30	5912211	5550825	88140	22389	250857	164961	462219	178377	0	555155	4710104	414142
DS1.D90	9821408	9234576	146489	43598	396745	400299	779206	333021	0	976580	7717969	774829
DS11.90	12636719	12040345	162432	51772	382170	344591	806527	349521	1	975978	9880068	1777234
DS11.D0	10940488	10477805	165324	48842	248517	604406	613015	399854	0	873159	8664897	1369326
DS11.D10	13945177	13373660	206701	59207	305609	765652	797965	759066	0	1155611	10873883	1978087
DS11.D3	7865592	7479296	117796	42039	226461	233861	538724	226252	0	662475	6256247	834430
DS11.D30	10270313	9868826	116322	39576	245589	382892	555043	267264	0	737976	8427899	1020572
DS24.D0	3583172	3362738	109246	12858	98330	154337	194771	73513	0	271131	3018234	100953
DS24.D10	9575300	9169172	130683	37126	238319	131375	414861	135982	0	508478	8527106	172282
DS24.D3	9651427	9255816	127822	35571	232218	135314	419270	146335	0	516628	8541693	264749
DS24.D30	10354274	9904783	168579	42364	238548	129043	165367	141025	0	325591	9410898	219791
DS24.D90	10726815	10224500	183826	40462	278027	173227	512233	174548	0	630183	9363012	309539
DS3.D0	11145304	10580792	140837	45719	377956	602835	666776	452609	0	980856	9113134	697874
DS3.D10	7175757	6777980	132665	29786	235326	144974	432694	158030	0	526562	5985958	384588
DS3.D3	8552252	8200878	101031	44942	205401	189118	421533	308518	0	578058	7203093	605188
DS3.D30	12097918	11563910	115219	87476	331313	817593	843437	829308	0	1219399	9221532	1663619
