geneID	proteinID	ARO	taxon	weight
ACT97415.1	gb|ACT97415.1|ARO:3002999|CblA-1	ARO:3002999	mixed culture bacterium AX_gF3SD01_15	1
AEJ08681.1	gb|AEJ08681.1|ARO:3001109|SHV-52	ARO:3001109	Klebsiella pneumoniae	1
AAD01868.1	gb|AAD01868.1|ARO:3002867|dfrF	ARO:3002867	Enterococcus faecalis	1
AFJ59957.1	gb|AFJ59957.1|ARO:3001989|CTX-M-130	ARO:3001989	Escherichia coli	1
AEX08599.1	gb|AEX08599.1|ARO:3002356|NDM-6	ARO:3002356	Escherichia coli	1
BAP68758.1	gb|BAP68758.1|ARO:3001855|ACT-35	ARO:3001855	Enterobacter cloacae	1
AAF61417.1	gb|AAF61417.1|ARO:3002244|CARB-5	ARO:3002244	Acinetobacter calcoaceticus subsp. anitratus	1
AAP74657.1	gb|AAP74657.1|ARO:3000600|Erm(34)	ARO:3000600	Alkalihalobacillus clausii	1
AAT45742.1	gb|AAT45742.1|ARO:3000988|TEM-126	ARO:3000988	Escherichia coli	1
ACH58990.1	gb|ACH58990.1|ARO:3002511|LRA-12	ARO:3002511	uncultured bacterium BLR12	1
AAF19151.1	gb|AAF19151.1|ARO:3000938|TEM-72	ARO:3000938	Morganella morganii	1
AAD45935.1	gb|AAD45935.1|ARO:3000928|TEM-59	ARO:3000928	Klebsiella oxytoca	1
ACS35345.1	gb|ACS35345.1|ARO:3002320|KPC-10	ARO:3002320	Acinetobacter baumannii	1
AEV91551.1	gb|AEV91551.1|ARO:3001711|OXA-212	ARO:3001711	Acinetobacter johnsonii	1
CAB94707.1	gb|CAB94707.1|ARO:3002193|IMP-2	ARO:3002193	Acinetobacter baumannii	1
CAA63264.1	gb|CAA63264.1|ARO:3002012|CMY-1	ARO:3002012	Klebsiella pneumoniae	1
AGW16411.1	gb|AGW16411.1|ARO:3001517|OXA-329	ARO:3001517	Acinetobacter calcoaceticus	1
AEV91214.1	gb|AEV91214.1|ARO:3001832|ACT-10	ARO:3001832	Serratia marcescens	1
BAO09635.1	gb|BAO09635.1|ARO:3001557|OXA-371	ARO:3001557	Acinetobacter baumannii	1
AAL12234.1	gb|AAL12234.1|ARO:3003552|fusB	ARO:3003552	Staphylococcus aureus	1
AFA51699.1	gb|AFA51699.1|ARO:3001980|CTX-M-121	ARO:3001980	Escherichia coli	1
AAS48620.1	gb|AAS48620.1|ARO:3002372|VEB-3	ARO:3002372	Enterobacter cloacae	1
AAA26652.1	gb|AAA26652.1|ARO:3002835|lnuA	ARO:3002835	Staphylococcus haemolyticus	1
CAD58780.1	gb|CAD58780.1|ARO:3001794|OXA-45	ARO:3001794	Pseudomonas aeruginosa	1
ACM67635.1	gb|ACM67635.1|ARO:3001800|OXA-226	ARO:3001800	Pseudomonas aeruginosa	1
AIS67611.1	gb|AIS67611.1|ARO:3003163|CTX-M-155	ARO:3003163	Klebsiella pneumoniae	1
AIT76106.1	gb|AIT76106.1|ARO:3002146|DHA-15	ARO:3002146	Klebsiella pneumoniae	1
ACB05808.1	gb|ACB05808.1|ARO:3003109|msrE	ARO:3003109	Acinetobacter baumannii	1
CAI43424.1	gb|CAI43424.1|ARO:3002415|OXY-6-3	ARO:3002415	Klebsiella oxytoca	1
ACC85616.1	gb|ACC85616.1|ARO:3002804|FosA2	ARO:3002804	Enterobacter cloacae	1
AAA26699.1	gb|AAA26699.1|ARO:3002649|APH(3')-Va	ARO:3002649	Streptomyces fradiae	1
AAG15269.1	gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	ARO:3002528	Pseudomonas aeruginosa	1
AFR46589.1	gb|AFR46589.1|ARO:3002771|QnrB58	ARO:3002771	Citrobacter freundii	1
AGH19769.1	gb|AGH19769.1|ARO:3003198|rmtH	ARO:3003198	Klebsiella pneumoniae	1
CAI43422.1	gb|CAI43422.1|ARO:3002413|OXY-6-1	ARO:3002413	Klebsiella oxytoca	1
AAL19308.1	gb|AAL19308.1|ARO:3000504|golS	ARO:3000504	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1
BAE78082.1	gb|BAE78082.1|ARO:3003550|mdtP	ARO:3003550	Escherichia coli str. K-12 substr. W3110	1
AIT76099.1	gb|AIT76099.1|ARO:3002125|CMY-114	ARO:3002125	Citrobacter freundii	1
AAQ08905.1	gb|AAQ08905.1|ARO:3001808|OXA-60	ARO:3001808	Ralstonia pickettii	1
CAJ77809.1	gb|CAJ77809.1|ARO:3001650|OXA-90	ARO:3001650	Acinetobacter baumannii	1
AAG29813.1	gb|AAG29813.1|ARO:3002380|SME-2	ARO:3002380	Serratia marcescens	1
AAA25683.1	gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc	ARO:3002538	Pseudomonas aeruginosa	1
AAL79541.1	gb|AAL79541.1|ARO:3002397|OXY-2-2	ARO:3002397	Klebsiella oxytoca	1
ACS44783.1	gb|ACS44783.1|ARO:3002188|MOX-5	ARO:3002188	Aeromonas caviae	1
AGE11905.1	gb|AGE11905.1|ARO:3000904|TEM-34	ARO:3000904	Haemophilus parainfluenzae	1
CAM86994.1	gb|CAM86994.1|ARO:3001617|OXA-69	ARO:3001617	Acinetobacter baumannii AYE	1
AAO33760.1	gb|AAO33760.1|ARO:3000879|TEM-7	ARO:3000879	Escherichia coli	1
BAA84973.1	gb|BAA84973.1|ARO:3001082|SHV-24	ARO:3001082	Escherichia coli	1
AFU25658.1	gb|AFU25658.1|ARO:3002762|QnrB47	ARO:3002762	Citrobacter freundii	1
CCE94500.1	gb|CCE94500.1|ARO:3001502|OXA-256	ARO:3001502	Enterobacter cloacae	1
AEG74318.1	gb|AEG74318.1|ARO:3002795|QnrS6	ARO:3002795	Aeromonas hydrophila	1
AGW16412.1	gb|AGW16412.1|ARO:3001518|OXA-330	ARO:3001518	Acinetobacter calcoaceticus	1
ADM21467.1	gb|ADM21467.1|ARO:3002053|CMY-42	ARO:3002053	Escherichia coli	1
AFJ11384.1	gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	ARO:3002546	Klebsiella pneumoniae	1
AFU25635.1	gb|AFU25635.1|ARO:3002083|CMY-70	ARO:3002083	Citrobacter braakii	1
AFK80745.1	gb|AFK80745.1|ARO:3002350|GES-21	ARO:3002350	uncultured bacterium	1
AAN04883.1	gb|AAN04883.1|ARO:3001099|SHV-41	ARO:3001099	Klebsiella pneumoniae	1
AHN53381.1	gb|AHN53381.1|ARO:3001577|OXA-391	ARO:3001577	Acinetobacter baumannii	1
AAR84298.1	gb|AAR84298.1|ARO:3000996|TEM-132	ARO:3000996	Klebsiella pneumoniae	1
CAH10847.1	gb|CAH10847.1|ARO:3002620|aadA23	ARO:3002620	Salmonella enterica subsp. enterica serovar Agona	1
AGT37351.1	gb|AGT37351.1|ARO:3002360|NDM-10	ARO:3002360	Klebsiella pneumoniae subsp. pneumoniae	1
AGL43627.1	gb|AGL43627.1|ARO:3002778|QnrB66	ARO:3002778	Citrobacter freundii	1
AAN04884.1	gb|AAN04884.1|ARO:3001100|SHV-42	ARO:3001100	Klebsiella pneumoniae	1
AAK49460.1	gb|AAK49460.1|ARO:3001429|OXA-35	ARO:3001429	Pseudomonas aeruginosa	1
AAF64386.1	gb|AAF64386.1|ARO:3001076|SHV-18	ARO:3001076	Klebsiella pneumoniae	1
CAA90432.1	gb|CAA90432.1|ARO:3003026|fusH	ARO:3003026	Streptomyces lividans	1
CAJ47134.2	gb|CAJ47134.2|ARO:3001133|SHV-79	ARO:3001133	Klebsiella pneumoniae	1
CAA71322.1	gb|CAA71322.1|ARO:3000916|TEM-47	ARO:3000916	Klebsiella pneumoniae	1
CAA46346.1	gb|CAA46346.1|ARO:3000887|TEM-16	ARO:3000887	Klebsiella pneumoniae	1
AGC50807.1	gb|AGC50807.1|ARO:3002307|VIM-37	ARO:3002307	Pseudomonas aeruginosa	1
AIT76085.1	gb|AIT76085.1|ARO:3001849|ACT-29	ARO:3001849	Enterobacter asburiae	1
CAA71947.1	gb|CAA71947.1|ARO:3002157|FOX-3	ARO:3002157	Klebsiella oxytoca	1
ACE77058.1	gb|ACE77058.1|ARO:3002366|PER-4	ARO:3002366	Proteus vulgaris	1
CAF05908.1	gb|CAF05908.1|ARO:3000845|GIM-1	ARO:3000845	Pseudomonas aeruginosa	1
BAM62793.1	gb|BAM62793.1|ARO:3002233|IMP-42	ARO:3002233	Acinetobacter soli	1
AAK82652.1	gb|AAK82652.1|ARO:3000965|TEM-102	ARO:3000965	Plasmid pWW100	1
AAB39956.1	gb|AAB39956.1|ARO:3000979|TEM-116	ARO:3000979	Staphylococcus aureus	1
ADK55605.1	gb|ADK55605.1|ARO:3002066|CMY-55	ARO:3002066	Escherichia coli	1
BAE77778.1	gb|BAE77778.1|ARO:3000508|gadX	ARO:3000508	Escherichia coli str. K-12 substr. W3110	1
AAY84742.1	gb|AAY84742.1|ARO:3001904|CTX-M-42	ARO:3001904	Escherichia coli	1
ACI22621.1	gb|ACI22621.1|ARO:3001154|SHV-105	ARO:3001154	Klebsiella pneumoniae	1
AFK73446.1	gb|AFK73446.1|ARO:3002092|CMY-79	ARO:3002092	Citrobacter freundii	1
ADT91162.1	gb|ADT91162.1|ARO:3002067|CMY-56	ARO:3002067	Klebsiella pneumoniae	1
AJA32744.1	gb|AJA32744.1|ARO:3003149|OXA-426	ARO:3003149	Acinetobacter baumannii	1
ADP02979.1	gb|ADP02979.1|ARO:3002059|CMY-48	ARO:3002059	Citrobacter freundii	1
AEL00461.1	gb|AEL00461.1|ARO:3002753|QnrB38	ARO:3002753	Citrobacter freundii	1
AAT46413.1	gb|AAT46413.1|ARO:3000972|TEM-109	ARO:3000972	Escherichia coli	1
CAG27800.1	gb|CAG27800.1|ARO:3003203|TLA-2	ARO:3003203	uncultured bacterium	1
AHN60527.1	gb|AHN60527.1|ARO:3001071|SHV-12	ARO:3001071	Enterobacter cloacae	1
AAT01092.1	gb|AAT01092.1|ARO:3001773|OXA-61	ARO:3001773	Campylobacter jejuni	1
AAC09012.1	gb|AAC09012.1|ARO:3002243|CARB-4	ARO:3002243	Pseudomonas aeruginosa	1
AAL68645.1	gb|AAL68645.1|ARO:3002681|catB9	ARO:3002681	Vibrio cholerae	1
AAC32889.2	gb|AAC32889.2|ARO:3000912|TEM-43	ARO:3000912	Klebsiella pneumoniae	1
ACQ82813.1	gb|ACQ82813.1|ARO:3002507|PDC-8	ARO:3002507	Pseudomonas aeruginosa	1
CAB60001.1	gb|CAB60001.1|ARO:3000326|ErmE	ARO:3000326	Saccharopolyspora erythraea NRRL 2338	1
AAD03493.1	gb|AAD03493.1|ARO:3002565|AAC(6')-Iu	ARO:3002565	Acinetobacter dispersus	1
ABN80430.1	gb|ABN80430.1|ARO:3002375|VEB-5	ARO:3002375	Escherichia coli	1
CAA90683.1	gb|CAA90683.1|ARO:3003012|dfrA13	ARO:3003012	Escherichia coli	1
AAG44570.1	gb|AAG44570.1|ARO:3000954|TEM-87	ARO:3000954	Proteus mirabilis	1
CAP45903.1	gb|CAP45903.1|ARO:3002733|QnrB18	ARO:3002733	Citrobacter freundii	1
ACH58989.1	gb|ACH58989.1|ARO:3002488|LRA-9	ARO:3002488	uncultured bacterium BLR9	1
AAZ73123.1	gb|AAZ73123.1|ARO:3002282|VIM-12	ARO:3002282	Klebsiella pneumoniae	1
AAN34365.1	gb|AAN34365.1|ARO:3002604|aadA4	ARO:3002604	Acinetobacter baumannii	1
AAC76539.1	gb|AAC76539.1|ARO:3000796|mdtF	ARO:3000796	Escherichia coli str. K-12 substr. MG1655	1
AFN88953.1	gb|AFN88953.1|ARO:3002304|VIM-34	ARO:3002304	Klebsiella pneumoniae	1
ABA06586.1	gb|ABA06586.1|ARO:3001119|SHV-64	ARO:3001119	Klebsiella pneumoniae	1
BAJ05825.1	gb|BAJ05825.1|ARO:3002263|IND-7	ARO:3002263	Chryseobacterium indologenes	1
AJO16042.1	gb|AJO16042.1|ARO:3001364|SHV-182	ARO:3001364	Klebsiella pneumoniae	1
ADR71220.1	gb|ADR71220.1|ARO:3001045|TEM-183	ARO:3001045	Klebsiella pneumoniae	1
BAH45481.1	gb|BAH45481.1|ARO:3002815|clbB	ARO:3002815	Brevibacillus brevis NBRC 100599	1
CAA45050.1	gb|CAA45050.1|ARO:3002828|srmB	ARO:3002828	Streptomyces ambofaciens	1
CWV56762.1	gb|CWV56762.1|ARO:3000198|FosX	ARO:3000198	Listeria monocytogenes	1
AEM44652.1	gb|AEM44652.1|ARO:3001972|CTX-M-112	ARO:3001972	Shigella sp. SH257	1
AAV97955.1	gb|AAV97955.1|ARO:3001912|CTX-M-50	ARO:3001912	Klebsiella pneumoniae	1
BAL68178.1	gb|BAL68178.1|ARO:3001057|TEM-198	ARO:3001057	Klebsiella pneumoniae	1
AGC29882.1	gb|AGC29882.1|ARO:3002853|arr-8	ARO:3002853	Klebsiella oxytoca	1
AFO53532.1	gb|AFO53532.1|ARO:3002883|rgt1438	ARO:3002883	Streptomyces sp. WAC 01438	1
AHV85514.1	gb|AHV85514.1|ARO:3002383|SME-5	ARO:3002383	Serratia marcescens	1
BAB72158.1	gb|BAB72158.1|ARO:3002020|CMY-9	ARO:3002020	Escherichia coli	1
AAX38178.1	gb|AAX38178.1|ARO:3002634|APH(2'')-Ie	ARO:3002634	Enterococcus casseliflavus	1
ABG56269.1	gb|ABG56269.1|ARO:3002724|QnrB10	ARO:3002724	Citrobacter freundii	1
AAA25680.1	gb|AAA25680.1|ARO:3002595|AAC(6')-IIb	ARO:3002595	Pseudomonas fluorescens	1
AAP69915.1	gb|AAP69915.1|ARO:3003103|cphA7	ARO:3003103	Aeromonas jandaei	1
CAD12765.1	gb|CAD12765.1|ARO:3002203|IMP-12	ARO:3002203	Pseudomonas putida	1
AFM55000.1	gb|AFM55000.1|ARO:3001692|OXA-229	ARO:3001692	Acinetobacter bereziniae	1
CAK50801.1	gb|CAK50801.1|ARO:3001646|OXA-98	ARO:3001646	Acinetobacter baumannii	1
AAG35609.2	gb|AAG35609.2|ARO:3001422|OXA-27	ARO:3001422	Acinetobacter baumannii	1
ABH04327.1	gb|ABH04327.1|ARO:3001144|SHV-92	ARO:3001144	Klebsiella pneumoniae	1
ACJ47200.1	gb|ACJ47200.1|ARO:3002612|aadA12	ARO:3002612	Escherichia coli	1
AFQ93498.1	gb|AFQ93498.1|ARO:3002676|catB3	ARO:3002676	Enterobacter cloacae	1
ACN65419.1	gb|ACN65419.1|ARO:3002432|OKP-A-15	ARO:3002432	Klebsiella pneumoniae	1
BAB38260.1	gb|BAB38260.1|ARO:3000830|cpxA	ARO:3000830	Escherichia coli O157:H7 str. Sakai	1
CAJ77856.1	gb|CAJ77856.1|ARO:3000777|adeF	ARO:3000777	Acinetobacter baumannii AYE	1
BAB41874.1	gb|BAB41874.1|ARO:3000815|mgrA	ARO:3000815	Staphylococcus aureus subsp. aureus N315	1
AFC75525.1	gb|AFC75525.1|ARO:3001055|TEM-195	ARO:3001055	Acinetobacter baumannii	1
BAH66386.1	gb|BAH66386.1|ARO:3002574|AAC(6')-Iaf	ARO:3002574	Pseudomonas aeruginosa	1
CAP69659.1	gb|CAP69659.1|ARO:3003017|dfrA21	ARO:3003017	Salmonella enterica subsp. enterica serovar Bredeney	1
BAA03674.1	gb|BAA03674.1|ARO:3001300|myrA	ARO:3001300	Micromonospora griseorubida	1
ABH10964.1	gb|ABH10964.1|ARO:3002830|vgaALC	ARO:3002830	Staphylococcus haemolyticus	1
AFH36332.1	gb|AFH36332.1|ARO:3001677|OXA-236	ARO:3001677	Acinetobacter baumannii	1
ACB73258.1	gb|ACB73258.1|ARO:3001112|SHV-56	ARO:3001112	Klebsiella pneumoniae	1
ACI95258.1	gb|ACI95258.1|ARO:3002318|KPC-8	ARO:3002318	Klebsiella pneumoniae	1
AHL30276.1	gb|AHL30276.1|ARO:3001562|OXA-376	ARO:3001562	Acinetobacter baumannii	1
AEP40500.1	gb|AEP40500.1|ARO:3002912|vanN	ARO:3002912	Enterococcus faecium	1
AFP99885.1	gb|AFP99885.1|ARO:3002299|VIM-29	ARO:3002299	Escherichia coli	1
ACD35503.1	gb|ACD35503.1|ARO:3000572|tet(42)	ARO:3000572	Micrococcus sp. SMCC G887	1
AEM62948.1	gb|AEM62948.1|ARO:3003196|tet(45)	ARO:3003196	Bhargavaea cecembensis	1
AAA71915.1	gb|AAA71915.1|ARO:3000173|tet(E)	ARO:3000173	Escherichia coli	1
AAA99931.1	gb|AAA99931.1|ARO:3003060|tsnR	ARO:3003060	Streptomyces laurentii	1
BAF95726.1	gb|BAF95726.1|ARO:3002050|CMY-39	ARO:3002050	Citrobacter freundii	1
ABW90721.1	gb|ABW90721.1|ARO:3002287|VIM-17	ARO:3002287	Pseudomonas aeruginosa	1
AJE60855.1	gb|AJE60855.1|ARO:3003209|fosA5	ARO:3003209	Escherichia coli	1
CAA42594.1	gb|CAA42594.1|ARO:3002690|Sliv_cmlR	ARO:3002690	Streptomyces lividans 1326	1
AAB05622.1	gb|AAB05622.1|ARO:3002921|vanR_in_vanB_cl	ARO:3002921	Enterococcus faecalis	1
AEU17778.1	gb|AEU17778.1|ARO:3002224|IMP-33	ARO:3002224	Pseudomonas aeruginosa	1
ABM67078.1	gb|ABM67078.1|ARO:3002210|IMP-19	ARO:3002210	Aeromonas caviae	1
AAF05612.1	gb|AAF05612.1|ARO:3000944|TEM-78	ARO:3000944	Escherichia coli	1
ABV26705.1	gb|ABV26705.1|ARO:3002849|arr-4	ARO:3002849	Pseudomonas aeruginosa	1
AAD23513.1	gb|AAD23513.1|ARO:3003002|CfxA2	ARO:3003002	Prevotella intermedia	1
AAN38836.1	gb|AAN38836.1|ARO:3001886|CTX-M-24	ARO:3001886	Klebsiella pneumoniae	1
ACA30420.1	gb|ACA30420.1|ARO:3002036|CMY-25	ARO:3002036	Klebsiella pneumoniae	1
BAQ56016.1	gb|BAQ56016.1|ARO:3003659|IMP-51	ARO:3003659	Pseudomonas aeruginosa	1
AAZ04784.1	gb|AAZ04784.1|ARO:3002711|QnrA5	ARO:3002711	Shewanella algae	1
AIT76102.1	gb|AIT76102.1|ARO:3002150|DHA-19	ARO:3002150	Morganella morganii	1
ADC91899.1	gb|ADC91899.1|ARO:3002343|GES-14	ARO:3002343	Acinetobacter baumannii	1
ABD30512.1	gb|ABD30512.1|ARO:3000839|arlS	ARO:3000839	Staphylococcus aureus subsp. aureus NCTC 8325	1
ADM92606.1	gb|ADM92606.1|ARO:3000549|adeS	ARO:3000549	Acinetobacter baumannii	1
CAC04522.1	gb|CAC04522.1|ARO:3002514|OCH-1	ARO:3002514	Brucella anthropi	1
AGD91915.1	gb|AGD91915.1|ARO:3001778|OXA-232	ARO:3001778	Escherichia coli	1
AAA83417.1	gb|AAA83417.1|ARO:3001407|OXA-12	ARO:3001407	Aeromonas sobria	1
AGW83446.1	gb|AGW83446.1|ARO:3001535|OXA-348	ARO:3001535	Acinetobacter calcoaceticus	1
ABA60809.1	gb|ABA60809.1|ARO:3001141|SHV-89	ARO:3001141	Klebsiella pneumoniae	1
AAK55534.1	gb|AAK55534.1|ARO:3001881|CTX-M-19	ARO:3001881	Klebsiella pneumoniae	1
AEB98921.1	gb|AEB98921.1|ARO:3001480|OXA-195	ARO:3001480	Acinetobacter nosocomialis	1
AFC95894.1	gb|AFC95894.1|ARO:3001814|OXA-199	ARO:3001814	Shewanella xiamenensis	1
AAV70602.1	gb|AAV70602.1|ARO:3001900|CTX-M-38	ARO:3001900	Klebsiella pneumoniae	1
AAQ01671.1	gb|AAQ01671.1|ARO:3000983|TEM-121	ARO:3000983	Escherichia coli	1
CAI30650.2	gb|CAI30650.2|ARO:3001116|SHV-61	ARO:3001116	Klebsiella pneumoniae	1
ABM97538.1	gb|ABM97538.1|ARO:3001919|CTX-M-58	ARO:3001919	Escherichia coli	1
ABN48311.1	gb|ABN48311.1|ARO:3001918|CTX-M-56	ARO:3001918	Escherichia coli	1
AAW47922.1	gb|AAW47922.1|ARO:3001002|TEM-138	ARO:3001002	Salmonella enterica	1
BAA23130.1	gb|BAA23130.1|ARO:3002493|SRT-1	ARO:3002493	Serratia marcescens	1
AAP93847.1	gb|AAP93847.1|ARO:3002477|LEN-14	ARO:3002477	Enterobacter cloacae	1
CAC17623.1	gb|CAC17623.1|ARO:3002516|OCH-3	ARO:3002516	Brucella anthropi	1
ABV72593.1	gb|ABV72593.1|ARO:3001150|SHV-101	ARO:3001150	Klebsiella pneumoniae	1
AAL17873.1	gb|AAL17873.1|ARO:3002403|OXY-2-8	ARO:3002403	Klebsiella oxytoca	1
AJP67511.1	gb|AJP67511.1|ARO:3003179|VIM-43	ARO:3003179	Pseudomonas aeruginosa	1
CAA24743.1	gb|CAA24743.1|ARO:3002655|APH(4)-Ia	ARO:3002655	Escherichia coli	1
BAA32493.1	gb|BAA32493.1|ARO:3000423|FomA	ARO:3000423	Streptomyces wedmorensis	1
CBG22732.1	gb|CBG22732.1|ARO:3002341|GES-12	ARO:3002341	Acinetobacter baumannii	1
AHL39330.1	gb|AHL39330.1|ARO:3002117|CMY-105	ARO:3002117	Citrobacter freundii	1
AAL82588.1	gb|AAL82588.1|ARO:3002600|AAC_3Ib_AAC_6Ib	ARO:3002600	Pseudomonas aeruginosa	1
AAL68926.1	gb|AAL68926.1|ARO:3001093|SHV-35	ARO:3001093	Klebsiella pneumoniae	1
AGK82336.1	gb|AGK82336.1|ARO:3001383|TEM-206	ARO:3001383	Escherichia coli	1
CAA71699.2	gb|CAA71699.2|ARO:3001416|OXA-21	ARO:3001416	Acinetobacter baumannii	1
